CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
5354,3453,711,1669,11948,197,600,683
4751,3402,1472,1653,11909,177,708,487
4977,3454,1271,1359,12360,165,693,318
4889,3205,766,1491,12348,156,793,940
5040,2601,712,2304,11947,317,783,431
5395,1550,676,3516,11686,327,799,493
5400,328,641,4742,11886,233,928,109
5924,2260,1089,2447,11899,690,231,1503
7064,2856,0,1657,11911,690,278,1362
5079,3095,922,1808,12301,384,335,1662
4280,3217,651,2390,13758,351,519,660
3725,3059,1190,2114,13643,277,554,635
3771,3781,1100,2195,12820,263,710,621
4439,3501,436,1899,12820,191,805,1162
4974,2988,486,1402,12820,179,1197,375
5052,2608,453,1370,12965,170,1353,343
4278,2472,1043,1446,12863,148,1650,433
4133,2598,946,1367,13275,134,1572,256
4307,2587,596,1123,13265,138,1695,603
4415,2124,545,1194,13656,301,1566,509
4406,1203,410,2093,13913,300,1594,688
4479,408,374,3424,13500,189,1920,267
20149,2439,4385,8686,72994,1117,1279,9306
23616,4303,0,6776,74926,1117,1876,7049
17678,4627,2519,9967,78114,937,1858,2861
14566,4297,2208,13939,76855,889,2904,2264
11845,3593,3442,12564,78992,737,3179,2850
11539,5634,3251,10498,77061,1074,3323,5043
13349,5753,1606,11341,76256,523,4042,3496
14438,5274,1438,9285,75078,556,5852,3583
14643,4325,1370,10387,73356,481,6815,4236
10359,4069,3862,10044,73500,453,8373,4798
10424,4208,3421,9780,73434,362,8042,4823
11624,4468,1889,9117,71938,404,9136,6220
9840,3641,1343,8282,73661,615,8707,8748
9370,2052,1061,10288,75150,693,8887,6815
9693,605,1632,10648,76004,483,11167,3478
4173,238,776,629,10459,165,192,2332
4892,495,0,489,11903,165,235,638
3730,688,473,781,11894,132,254,548
2965,641,935,941,11706,122,362,715
2353,592,761,1202,11566,132,380,1357
2326,694,643,979,12403,152,406,769
2610,704,251,667,12402,102,516,1111
2748,625,231,550,12167,103,700,1188
2713,484,201,443,12084,90,822,1419
1942,464,786,422,12179,84,1005,1408
